,Pred Total Confirmed,Total Confirmed
2020-07-18,1075237.0,1077873.0
2020-07-19,1112073.0,1118108.0
2020-07-20,1150634.0,1154914.0
2020-07-21,1191331.0,1194084.0
2020-07-22,1232587.0,1239685.0
2020-07-23,1274831.0,1288128.0
2020-07-24,1319713.0,1337016.0
2020-07-25,1367522.0,1387088.0
2020-07-26,1417690.0,1436020.0
2020-07-27,1469916.0,1482504.0
2020-07-28,1523239.0,1532135.0
2020-07-29,1576486.0,1584614.0
2020-07-30,1630445.0,1639582.0
2020-07-31,1685758.0,1697068.0
2020-08-01,1742850.0,1752185.0
2020-08-02,1802051.0,1804857.0
2020-08-03,1862105.0,1855345.0
2020-08-04,1921923.0,1906627.0
2020-08-05,1980731.0,1963253.0
2020-08-06,2038875.0,2025423.0
2020-08-07,2098088.0,2086878.0
2020-08-08,2159875.0,2152034.0
2020-08-09,2223495.0,2214151.0
2020-08-10,2289572.0,2267167.0
2020-08-11,2356536.0,2328419.0
2020-08-12,2421244.0,2395485.0
2020-08-13,2486431.0,2459626.0
2020-08-14,2553744.0,2525236.0
2020-08-15,2621865.0,2589222.0
2020-08-16,2690956.0,2647318.0
2020-08-17,2760213.0,2701616.0
2020-08-18,2827699.0,2766640.0
2020-08-19,2892516.0,2835836.0
2020-08-20,2958411.0,2904354.0
2020-08-21,3026519.0,2973383.0
2020-08-22,3096202.0,3043450.0
2020-08-23,3167187.0,3105199.0
2020-08-24,3239364.0,3164895.0
2020-08-25,3309841.0,3231768.0
2020-08-26,3378185.0,3307763.0
2020-08-27,3446917.0,3384590.0
2020-08-28,3518714.0,3461247.0
2020-08-29,3593198.0,3539726.0
2020-08-30,3669620.0,3619187.0
2020-08-31,3747896.0,3687953.0
2020-09-01,3827696.0,3766121.0
2020-09-02,3905301.0,3848981.0
2020-09-03,3983738.0,3933137.0
2020-09-04,4064126.0,4020252.0
2020-09-05,4146352.0,4110852.0
2020-09-06,4230740.0,4202577.0
2020-09-07,4317647.0,4277592.0
2020-09-08,4406628.0,4367447.0
2020-09-09,4492079.0,4462983.0
2020-09-10,4578844.0,4559745.0
2020-09-11,4668185.0,4657400.0
2020-09-12,4759780.0,4751814.0
2020-09-13,4853194.0,4845034.0
2020-09-14,4946832.0,4926947.0
2020-09-15,5040038.0,5018045.0
2020-09-16,5129442.0,5115905.0
2020-09-17,5218404.0,5212692.0
2020-09-18,5308913.0,5305665.0
2020-09-19,5400279.0,5398239.0
2020-09-20,5491110.0,5485634.0
2020-09-21,5581261.0,5560127.0
2020-09-22,5669285.0,5643489.0
2020-09-23,5751937.0,5730192.0
2020-09-24,5832955.0,5816113.0
2020-09-25,5913707.0,5901830.0
2020-09-26,5994119.0,5990589.0
2020-09-27,6074225.0,6073359.0
2020-09-28,6154903.0,6143028.0
2020-09-29,6234273.0,6223528.0
2020-09-30,6308940.0,6310276.0
2020-10-01,6382985.0,6392060.0
2020-10-02,6458272.0,6471943.0
2020-10-03,6533151.0,6547422.0
2020-10-04,6607162.0,6622192.0
2020-10-05,6679235.0,6682322.0
2020-10-06,6749596.0,6754191.0
2020-10-07,6872266.0,
2020-10-08,6950566.0,
2020-10-09,7026501.0,
2020-10-10,7099908.0,
2020-10-11,7170429.0,
2020-10-12,7237901.0,
2020-10-13,7302269.0,
2020-10-14,7363543.0,
2020-10-15,7421775.0,
2020-10-16,7477040.0,
2020-10-17,7529422.0,
2020-10-18,7579016.0,
2020-10-19,7625922.0,
2020-10-20,7670248.0,
2020-10-21,7712094.0,
2020-10-22,7751568.0,
2020-10-23,7788775.0,
2020-10-24,7823833.0,
2020-10-25,7856834.0,
2020-10-26,7887881.0,
2020-10-27,7917070.0,
2020-10-28,7944496.0,
2020-10-29,7970256.0,
2020-10-30,7994433.0,
2020-10-31,8017118.0,
2020-11-01,8038392.0,
2020-11-02,8058336.0,
2020-11-03,8077024.0,
2020-11-04,8094530.0,
2020-11-05,8110922.0,
2020-11-06,8126268.0,
2020-11-07,8140627.0,
2020-11-08,8154062.0,
2020-11-09,8166629.0,
2020-11-10,8178379.0,
2020-11-11,8189365.0,
2020-11-12,8199633.0,
2020-11-13,8209227.0,
2020-11-14,8218193.0,
2020-11-15,8226566.0,
2020-11-16,8234389.0,
2020-11-17,8241695.0,
2020-11-18,8248515.0,
2020-11-19,8254882.0,
2020-11-20,8260827.0,
2020-11-21,8266376.0,
2020-11-22,8271554.0,
2020-11-23,8276387.0,
2020-11-24,8280895.0,
2020-11-25,8285102.0,
2020-11-26,8289028.0,
2020-11-27,8292690.0,
2020-11-28,8296106.0,
2020-11-29,8299291.0,
2020-11-30,8302261.0,
2020-12-01,8305034.0,
2020-12-02,8307619.0,
2020-12-03,8310028.0,
2020-12-04,8312276.0,
2020-12-05,8314372.0,
2020-12-06,8316326.0,
2020-12-07,8318149.0,
2020-12-08,8319847.0,
2020-12-09,8321431.0,
2020-12-10,8322907.0,
2020-12-11,8324285.0,
2020-12-12,8325568.0,
2020-12-13,8326764.0,
2020-12-14,8327879.0,
2020-12-15,8328918.0,
2020-12-16,8329887.0,
2020-12-17,8330791.0,
2020-12-18,8331633.0,
2020-12-19,8332416.0,
2020-12-20,8333150.0,
